# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
profrouter;300;2020-05-02 00:05:01 UTC;-1;0.09;0.04;0.05;0.02;0.00;0.00;0.00;0.00;0.00;99.80
profrouter;300;2020-05-02 00:05:01 UTC;0;0.16;0.13;0.09;0.04;0.00;0.00;0.00;0.00;0.00;99.58
profrouter;300;2020-05-02 00:05:01 UTC;1;0.14;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.82
profrouter;300;2020-05-02 00:05:01 UTC;2;0.03;0.00;0.05;0.01;0.00;0.00;0.01;0.00;0.00;99.90
profrouter;300;2020-05-02 00:05:01 UTC;3;0.02;0.01;0.03;0.04;0.00;0.00;0.00;0.00;0.00;99.89
profrouter;600;2020-05-02 00:15:01 UTC;-1;0.28;0.18;0.12;0.03;0.00;0.00;0.02;0.00;0.00;99.38
profrouter;600;2020-05-02 00:15:01 UTC;0;0.51;0.00;0.13;0.00;0.00;0.00;0.02;0.00;0.00;99.34
profrouter;600;2020-05-02 00:15:01 UTC;1;0.14;0.72;0.16;0.11;0.00;0.00;0.02;0.00;0.00;98.86
profrouter;600;2020-05-02 00:15:01 UTC;2;0.29;0.01;0.10;0.00;0.00;0.00;0.02;0.00;0.00;99.58
profrouter;600;2020-05-02 00:15:01 UTC;3;0.17;0.00;0.07;0.01;0.00;0.00;0.01;0.00;0.00;99.73
profrouter;600;2020-05-02 00:25:01 UTC;-1;0.03;0.13;0.02;0.03;0.00;0.00;0.00;0.00;0.00;99.77
profrouter;600;2020-05-02 00:25:01 UTC;0;0.04;0.54;0.02;0.00;0.00;0.00;0.01;0.00;0.00;99.40
profrouter;600;2020-05-02 00:25:01 UTC;1;0.02;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;600;2020-05-02 00:25:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 00:25:01 UTC;3;0.07;0.00;0.03;0.13;0.00;0.00;0.00;0.00;0.00;99.77
profrouter;600;2020-05-02 00:35:01 UTC;-1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 00:35:01 UTC;0;0.01;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 00:35:01 UTC;1;0.01;0.00;0.02;0.01;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 00:35:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 00:35:01 UTC;3;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 00:45:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;600;2020-05-02 00:45:01 UTC;0;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.93
profrouter;600;2020-05-02 00:45:01 UTC;1;0.02;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;600;2020-05-02 00:45:01 UTC;2;0.02;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 00:45:01 UTC;3;0.01;0.00;0.02;0.01;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 00:55:01 UTC;-1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 00:55:01 UTC;0;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 00:55:01 UTC;1;0.01;0.00;0.01;0.00;0.00;0.00;0.01;0.00;0.00;99.98
profrouter;600;2020-05-02 00:55:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 00:55:01 UTC;3;0.01;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;599;2020-05-02 01:05:01 UTC;-1;0.03;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;599;2020-05-02 01:05:01 UTC;0;0.02;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;599;2020-05-02 01:05:01 UTC;1;0.07;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.92
profrouter;599;2020-05-02 01:05:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;599;2020-05-02 01:05:01 UTC;3;0.01;0.00;0.01;0.02;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 01:15:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:15:01 UTC;0;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:15:01 UTC;1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:15:01 UTC;2;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:15:01 UTC;3;0.02;0.00;0.02;0.01;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;600;2020-05-02 01:25:01 UTC;-1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:25:01 UTC;0;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 01:25:01 UTC;1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:25:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:25:01 UTC;3;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 01:35:01 UTC;-1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:35:01 UTC;0;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:35:01 UTC;1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:35:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.99
profrouter;600;2020-05-02 01:35:01 UTC;3;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:45:01 UTC;-1;0.01;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:45:01 UTC;0;0.02;0.00;0.03;0.01;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;600;2020-05-02 01:45:01 UTC;1;0.01;0.00;0.03;0.00;0.00;0.00;0.01;0.00;0.00;99.95
profrouter;600;2020-05-02 01:45:01 UTC;2;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:45:01 UTC;3;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 01:55:01 UTC;-1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
