# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
sun;600;2023-08-03 22:10:01 UTC;-1;0.13;0.00;0.09;0.03;0.00;0.00;0.03;0.00;0.00;99.71
sun;600;2023-08-03 22:10:01 UTC;0;0.20;0.00;0.09;0.03;0.00;0.00;0.00;0.00;0.00;99.69
sun;600;2023-08-03 22:10:01 UTC;1;0.16;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.77
sun;600;2023-08-03 22:10:01 UTC;2;0.12;0.01;0.14;0.05;0.00;0.00;0.05;0.00;0.00;99.62
sun;600;2023-08-03 22:10:01 UTC;3;0.04;0.00;0.07;0.05;0.00;0.00;0.08;0.00;0.00;99.75
sun;600;2023-08-03 22:20:01 UTC;-1;0.04;0.00;0.06;0.03;0.00;0.00;0.05;0.00;0.00;99.82
sun;600;2023-08-03 22:20:01 UTC;0;0.06;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-03 22:20:01 UTC;1;0.07;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-03 22:20:01 UTC;2;0.02;0.00;0.12;0.04;0.00;0.00;0.07;0.00;0.00;99.75
sun;600;2023-08-03 22:20:01 UTC;3;0.01;0.00;0.04;0.06;0.00;0.00;0.12;0.00;0.00;99.77
sun;600;2023-08-03 22:30:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.02;0.00;0.00;99.86
sun;600;2023-08-03 22:30:01 UTC;0;0.06;0.00;0.08;0.01;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-03 22:30:01 UTC;1;0.05;0.00;0.04;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-03 22:30:01 UTC;2;0.02;0.00;0.07;0.04;0.00;0.00;0.04;0.00;0.00;99.83
sun;600;2023-08-03 22:30:01 UTC;3;0.01;0.00;0.06;0.05;0.00;0.00;0.06;0.00;0.00;99.82
sun;600;2023-08-03 22:40:01 UTC;-1;0.04;0.00;0.06;0.02;0.00;0.00;0.04;0.00;0.00;99.83
sun;600;2023-08-03 22:40:01 UTC;0;0.07;0.00;0.10;0.01;0.00;0.00;0.00;0.00;0.00;99.82
sun;600;2023-08-03 22:40:01 UTC;1;0.05;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-03 22:40:01 UTC;2;0.02;0.00;0.05;0.06;0.00;0.00;0.08;0.00;0.00;99.80
sun;600;2023-08-03 22:40:01 UTC;3;0.03;0.00;0.02;0.03;0.00;0.00;0.08;0.00;0.00;99.84
sun;600;2023-08-03 22:50:01 UTC;-1;0.06;0.00;0.07;0.02;0.00;0.00;0.03;0.00;0.00;99.82
sun;600;2023-08-03 22:50:01 UTC;0;0.11;0.00;0.07;0.01;0.00;0.00;0.00;0.00;0.00;99.82
sun;600;2023-08-03 22:50:01 UTC;1;0.06;0.00;0.10;0.01;0.00;0.00;0.00;0.00;0.00;99.83
sun;600;2023-08-03 22:50:01 UTC;2;0.02;0.00;0.07;0.04;0.00;0.00;0.05;0.00;0.00;99.82
sun;600;2023-08-03 22:50:01 UTC;3;0.03;0.00;0.05;0.05;0.00;0.00;0.07;0.00;0.00;99.80
sun;600;2023-08-03 23:00:01 UTC;-1;0.03;0.00;0.06;0.03;0.00;0.00;0.04;0.00;0.00;99.84
sun;600;2023-08-03 23:00:01 UTC;0;0.03;0.00;0.08;0.01;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-03 23:00:01 UTC;1;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-03 23:00:01 UTC;2;0.04;0.00;0.07;0.05;0.00;0.00;0.06;0.00;0.00;99.78
sun;600;2023-08-03 23:00:01 UTC;3;0.05;0.00;0.04;0.04;0.00;0.00;0.08;0.00;0.00;99.79
sun;600;2023-08-03 23:10:01 UTC;-1;0.05;0.00;0.07;0.03;0.00;0.00;0.03;0.00;0.00;99.81
sun;600;2023-08-03 23:10:01 UTC;0;0.05;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
sun;600;2023-08-03 23:10:01 UTC;1;0.10;0.00;0.11;0.01;0.00;0.00;0.00;0.00;0.00;99.78
sun;600;2023-08-03 23:10:01 UTC;2;0.02;0.00;0.08;0.06;0.00;0.00;0.06;0.00;0.00;99.79
sun;600;2023-08-03 23:10:01 UTC;3;0.05;0.00;0.03;0.02;0.00;0.00;0.08;0.00;0.00;99.83
sun;600;2023-08-03 23:20:01 UTC;-1;0.04;0.00;0.07;0.02;0.00;0.00;0.01;0.00;0.00;99.86
sun;600;2023-08-03 23:20:01 UTC;0;0.02;0.00;0.07;0.05;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-03 23:20:01 UTC;1;0.03;0.00;0.07;0.04;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-03 23:20:01 UTC;2;0.05;0.00;0.09;0.00;0.00;0.00;0.02;0.00;0.00;99.84
sun;600;2023-08-03 23:20:01 UTC;3;0.05;0.00;0.04;0.00;0.00;0.00;0.04;0.00;0.00;99.87
sun;600;2023-08-03 23:30:01 UTC;-1;0.04;0.00;0.06;0.02;0.00;0.00;0.02;0.00;0.00;99.85
sun;600;2023-08-03 23:30:01 UTC;0;0.01;0.00;0.10;0.03;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-03 23:30:01 UTC;1;0.02;0.00;0.07;0.06;0.00;0.00;0.00;0.00;0.00;99.85
sun;600;2023-08-03 23:30:01 UTC;2;0.07;0.00;0.05;0.00;0.00;0.00;0.04;0.00;0.00;99.84
sun;600;2023-08-03 23:30:01 UTC;3;0.06;0.00;0.03;0.00;0.00;0.00;0.05;0.00;0.00;99.86
sun;600;2023-08-03 23:40:01 UTC;-1;0.04;0.00;0.07;0.02;0.00;0.00;0.03;0.00;0.00;99.83
sun;600;2023-08-03 23:40:01 UTC;0;0.02;0.00;0.05;0.04;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-03 23:40:01 UTC;1;0.01;0.00;0.08;0.05;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-03 23:40:01 UTC;2;0.09;0.00;0.08;0.01;0.00;0.00;0.05;0.00;0.00;99.77
sun;600;2023-08-03 23:40:01 UTC;3;0.06;0.00;0.07;0.00;0.00;0.00;0.07;0.00;0.00;99.80
sun;600;2023-08-03 23:50:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.02;0.00;0.00;99.87
sun;600;2023-08-03 23:50:01 UTC;0;0.01;0.00;0.07;0.03;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-03 23:50:01 UTC;1;0.01;0.00;0.06;0.05;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-03 23:50:01 UTC;2;0.06;0.00;0.08;0.00;0.00;0.00;0.02;0.00;0.00;99.83
sun;600;2023-08-03 23:50:01 UTC;3;0.05;0.00;0.03;0.00;0.00;0.00;0.04;0.00;0.00;99.87
sun;600;2023-08-04 00:00:02 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.01;0.00;0.00;99.88
sun;600;2023-08-04 00:00:02 UTC;0;0.01;0.00;0.04;0.03;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-04 00:00:02 UTC;1;0.02;0.00;0.04;0.05;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 00:00:02 UTC;2;0.06;0.00;0.11;0.01;0.00;0.00;0.02;0.00;0.00;99.81
sun;600;2023-08-04 00:00:02 UTC;3;0.05;0.00;0.05;0.00;0.00;0.00;0.03;0.00;0.00;99.87
sun;599;2023-08-04 00:10:01 UTC;-1;0.04;0.00;0.07;0.02;0.00;0.00;0.01;0.00;0.00;99.87
sun;599;2023-08-04 00:10:01 UTC;0;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
sun;599;2023-08-04 00:10:01 UTC;1;0.04;0.00;0.08;0.05;0.00;0.00;0.00;0.00;0.00;99.83
sun;599;2023-08-04 00:10:01 UTC;2;0.03;0.00;0.08;0.00;0.00;0.00;0.01;0.00;0.00;99.88
sun;599;2023-08-04 00:10:01 UTC;3;0.04;0.00;0.03;0.00;0.00;0.00;0.02;0.00;0.00;99.91
sun;600;2023-08-04 00:20:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.01;0.00;0.00;99.88
sun;600;2023-08-04 00:20:01 UTC;0;0.05;0.00;0.08;0.03;0.00;0.00;0.00;0.00;0.00;99.84
sun;600;2023-08-04 00:20:01 UTC;1;0.04;0.00;0.08;0.05;0.00;0.00;0.00;0.00;0.00;99.83
sun;600;2023-08-04 00:20:01 UTC;2;0.02;0.00;0.06;0.00;0.00;0.00;0.01;0.00;0.00;99.90
sun;600;2023-08-04 00:20:01 UTC;3;0.01;0.00;0.03;0.00;0.00;0.00;0.02;0.00;0.00;99.94
sun;600;2023-08-04 00:30:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.01;0.00;0.00;99.88
sun;600;2023-08-04 00:30:01 UTC;0;0.04;0.00;0.11;0.03;0.00;0.00;0.00;0.00;0.00;99.81
sun;600;2023-08-04 00:30:01 UTC;1;0.04;0.00;0.08;0.04;0.00;0.00;0.00;0.00;0.00;99.85
sun;600;2023-08-04 00:30:01 UTC;2;0.01;0.00;0.04;0.00;0.00;0.00;0.01;0.00;0.00;99.94
sun;600;2023-08-04 00:30:01 UTC;3;0.02;0.00;0.02;0.00;0.00;0.00;0.02;0.00;0.00;99.93
sun;600;2023-08-04 00:40:01 UTC;-1;1.24;0.62;0.25;0.11;0.00;0.00;0.02;0.00;0.00;97.75
sun;600;2023-08-04 00:40:01 UTC;0;2.11;2.36;0.39;0.16;0.00;0.00;0.00;0.00;0.00;94.97
sun;600;2023-08-04 00:40:01 UTC;1;1.41;0.00;0.19;0.13;0.00;0.00;0.00;0.00;0.00;98.27
sun;600;2023-08-04 00:40:01 UTC;2;1.03;0.10;0.29;0.02;0.00;0.00;0.03;0.00;0.00;98.53
sun;600;2023-08-04 00:40:01 UTC;3;0.40;0.04;0.14;0.13;0.00;0.00;0.04;0.00;0.00;99.24
sun;600;2023-08-04 00:50:01 UTC;-1;0.03;0.00;0.06;0.01;0.00;0.00;0.02;0.00;0.00;99.87
sun;600;2023-08-04 00:50:01 UTC;0;0.05;0.00;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 00:50:01 UTC;1;0.05;0.00;0.05;0.02;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-04 00:50:01 UTC;2;0.01;0.00;0.07;0.00;0.00;0.00;0.03;0.00;0.00;99.89
sun;600;2023-08-04 00:50:01 UTC;3;0.03;0.00;0.06;0.00;0.00;0.00;0.03;0.00;0.00;99.88
sun;600;2023-08-04 01:00:01 UTC;-1;0.03;0.00;0.06;0.01;0.00;0.00;0.01;0.00;0.00;99.89
sun;600;2023-08-04 01:00:01 UTC;0;0.04;0.00;0.04;0.02;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-04 01:00:01 UTC;1;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 01:00:01 UTC;2;0.03;0.00;0.08;0.01;0.00;0.00;0.01;0.00;0.00;99.88
sun;600;2023-08-04 01:00:01 UTC;3;0.01;0.00;0.05;0.00;0.00;0.00;0.01;0.00;0.00;99.93
sun;600;2023-08-04 01:10:01 UTC;-1;0.03;0.00;0.07;0.01;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 01:10:01 UTC;0;0.04;0.00;0.09;0.02;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 01:10:01 UTC;1;0.03;0.00;0.10;0.02;0.00;0.00;0.00;0.00;0.00;99.84
sun;600;2023-08-04 01:10:01 UTC;2;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;600;2023-08-04 01:10:01 UTC;3;0.03;0.00;0.04;0.00;0.00;0.00;0.01;0.00;0.00;99.92
sun;600;2023-08-04 01:20:01 UTC;-1;0.05;0.00;0.07;0.01;0.00;0.00;0.01;0.00;0.00;99.87
sun;600;2023-08-04 01:20:01 UTC;0;0.03;0.00;0.10;0.03;0.00;0.00;0.00;0.00;0.00;99.84
sun;600;2023-08-04 01:20:01 UTC;1;0.03;0.00;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-04 01:20:01 UTC;2;0.07;0.00;0.05;0.00;0.00;0.00;0.01;0.00;0.00;99.86
sun;600;2023-08-04 01:20:01 UTC;3;0.06;0.00;0.04;0.00;0.00;0.00;0.01;0.00;0.00;99.89
sun;600;2023-08-04 01:30:01 UTC;-1;0.05;0.00;0.06;0.02;0.00;0.00;0.01;0.00;0.00;99.87
sun;600;2023-08-04 01:30:01 UTC;0;0.03;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 01:30:01 UTC;1;0.06;0.00;0.09;0.02;0.00;0.00;0.00;0.00;0.00;99.83
sun;600;2023-08-04 01:30:01 UTC;2;0.06;0.00;0.05;0.01;0.00;0.00;0.01;0.00;0.00;99.88
